size,type,asgs
0.5,0.1,370
0.5,0.1,381
0.5,0.1,433
0.5,0.1,675
0.5,0.1,405
0.5,0.1,634
0.5,0.1,405
0.5,0.1,407
0.5,0.1,355
0.5,0.1,404
0.5,0.2,556
0.5,0.2,839
0.5,0.2,526
0.5,0.2,636
0.5,0.2,515
0.5,0.2,387
0.5,0.2,423
0.5,0.2,486
0.5,0.2,621
0.5,0.2,450
0.5,0.3,487
0.5,0.3,711
0.5,0.3,756
0.5,0.3,828
0.5,0.3,1158
0.5,0.3,525
0.5,0.3,887
0.5,0.3,1185
0.5,0.3,742
0.5,0.3,818
0.5,0.4,1323
0.5,0.4,908
0.5,0.4,1095
0.5,0.4,844
0.5,0.4,1126
0.5,0.4,882
0.5,0.4,1081
0.5,0.4,722
0.5,0.4,1325
0.5,0.4,1336
0.5,0.5,1073
0.5,0.5,994
0.5,0.5,666
0.5,0.5,503
0.5,0.5,1107
0.5,0.5,1158
0.5,0.5,1200
0.5,0.5,631
0.5,0.5,1139
0.5,0.5,1096
0.5,0.6,769
0.5,0.6,1662
0.5,0.6,769
0.5,0.6,1059
0.5,0.6,833
0.5,0.6,960
0.5,0.6,888
0.5,0.6,1387
0.5,0.6,815
0.5,0.6,604
0.5,0.7,1240
0.5,0.7,1346
0.5,0.7,1303
0.5,0.7,686
0.5,0.7,581
0.5,0.7,1067
0.5,0.7,1433
0.5,0.7,1154
0.5,0.7,1042
0.5,0.7,960
0.5,0.8,1244
0.5,0.8,1640
0.5,0.8,1096
0.5,0.8,1548
0.5,0.8,1089
0.5,0.8,1041
0.5,0.8,1775
0.5,0.8,1073
0.5,0.8,1051
0.5,0.8,1371
0.5,0.9,1770
0.5,0.9,781
0.5,0.9,846
0.5,0.9,787
0.5,0.9,1122
0.5,0.9,697
0.5,0.9,2203
0.5,0.9,1388
0.5,0.9,1341
0.5,0.9,1215
0.6,0.1,552
0.6,0.1,534
0.6,0.1,1093
0.6,0.1,2600
0.6,0.1,763
0.6,0.1,708
0.6,0.1,633
0.6,0.1,1104
0.6,0.1,876
0.6,0.1,884
0.6,0.2,3285
0.6,0.2,736
0.6,0.2,905
0.6,0.2,766
0.6,0.2,1150
0.6,0.2,868
0.6,0.2,1426
0.6,0.2,835
0.6,0.2,438
0.6,0.2,1260
0.6,0.3,710
0.6,0.3,1891
0.6,0.3,2750
0.6,0.3,2560
0.6,0.3,947
0.6,0.3,3519
0.6,0.3,2697
0.6,0.3,535
0.6,0.3,2069
0.6,0.3,505
0.6,0.4,1446
0.6,0.4,1142
0.6,0.4,3196
0.6,0.4,1476
0.6,0.4,1344
0.6,0.4,5146
0.6,0.4,3533
0.6,0.4,932
0.6,0.4,726
0.6,0.4,740
0.6,0.5,747
0.6,0.5,531
0.6,0.5,1417
0.6,0.5,962
0.6,0.5,1376
0.6,0.5,784
0.6,0.5,840
0.6,0.5,3184
0.6,0.5,3409
0.6,0.5,3026
0.6,0.6,2358
0.6,0.6,2218
0.6,0.6,554
0.6,0.6,2281
0.6,0.6,780
0.6,0.6,4588
0.6,0.6,1402
0.6,0.6,3756
0.6,0.6,1192
0.6,0.6,2139
0.6,0.7,2894
0.6,0.7,2006
0.6,0.7,975
0.6,0.7,1945
0.6,0.7,2006
0.6,0.7,1208
0.6,0.7,2585
0.6,0.7,1314
0.6,0.7,3382
0.6,0.7,5341
0.6,0.8,2484
0.6,0.8,3292
0.6,0.8,6541
0.6,0.8,614
0.6,0.8,3260
0.6,0.8,3623
0.6,0.8,3918
0.6,0.8,2071
0.6,0.8,3997
0.6,0.8,1450
0.6,0.9,2915
0.6,0.9,4900
0.6,0.9,4057
0.6,0.9,3563
0.6,0.9,2482
0.6,0.9,1803
0.6,0.9,1201
0.6,0.9,3114
0.6,0.9,2310
0.6,0.9,2639
0.7,0.1,4185
0.7,0.1,1509
0.7,0.1,899
0.7,0.1,904
0.7,0.1,2597
0.7,0.1,1329
0.7,0.1,2484
0.7,0.1,491
0.7,0.1,4743
0.7,0.1,4234
0.7,0.2,14134
0.7,0.2,18863
0.7,0.2,2636
0.7,0.2,1142
0.7,0.2,560
0.7,0.2,2328
0.7,0.2,4440
0.7,0.2,1867
0.7,0.2,692
0.7,0.2,828
0.7,0.3,1069
0.7,0.3,10208
0.7,0.3,717
0.7,0.3,3699
0.7,0.3,2135
0.7,0.3,1656
0.7,0.3,607
0.7,0.3,2042
0.7,0.3,3569
0.7,0.3,1830
0.7,0.4,1952
0.7,0.4,2337
0.7,0.4,1502
0.7,0.4,1387
0.7,0.4,3912
0.7,0.4,5138
0.7,0.4,13591
0.7,0.4,12433
0.7,0.4,2244
0.7,0.4,12168
0.7,0.5,18187
0.7,0.5,11082
0.7,0.5,1675
0.7,0.5,1239
0.7,0.5,12484
0.7,0.5,3989
0.7,0.5,1301
0.7,0.5,2441
0.7,0.5,3233
0.7,0.5,2748
0.7,0.6,1311
0.7,0.6,4516
0.7,0.6,3250
0.7,0.6,15157
0.7,0.6,11390
0.7,0.6,8310
0.7,0.6,1994
0.7,0.6,2832
0.7,0.6,1297
0.7,0.6,5830
0.7,0.7,13156
0.7,0.7,1800
0.7,0.7,3313
0.7,0.7,1714
0.7,0.7,9852
0.7,0.7,3577
0.7,0.7,1369
0.7,0.7,3851
0.7,0.7,1410
0.7,0.7,5290
0.7,0.8,1285
0.7,0.8,5979
0.7,0.8,4490
0.7,0.8,14066
0.7,0.8,15620
0.7,0.8,14464
0.7,0.8,4223
0.7,0.8,5747
0.7,0.8,1541
0.7,0.8,18429
0.7,0.9,1597
0.7,0.9,3548
0.7,0.9,1560
0.7,0.9,7458
0.7,0.9,25341
0.7,0.9,40231
0.7,0.9,11975
0.7,0.9,3320
0.7,0.9,5191
0.7,0.9,13528
0.8,0.1,1631
0.8,0.1,4795
0.8,0.1,5214
0.8,0.1,713
0.8,0.1,2607
0.8,0.1,100496
0.8,0.1,1235
0.8,0.1,13584
0.8,0.1,707
0.8,0.1,2988
0.8,0.2,1102
0.8,0.2,657
0.8,0.2,822
0.8,0.2,976
0.8,0.2,3561
0.8,0.2,1900
0.8,0.2,2084
0.8,0.2,9349
0.8,0.2,3645
0.8,0.2,7937
0.8,0.3,1284
0.8,0.3,15607
0.8,0.3,6633
0.8,0.3,2781
0.8,0.3,1820
0.8,0.3,16652
0.8,0.3,2993
0.8,0.3,11058
0.8,0.3,19411
0.8,0.3,1591
0.8,0.4,5157
0.8,0.4,1681
0.8,0.4,2299
0.8,0.4,5183
0.8,0.4,3461
0.8,0.4,1524
0.8,0.4,4269
0.8,0.4,3415
0.8,0.4,5850
0.8,0.4,2795
0.8,0.5,116778
0.8,0.5,6673
0.8,0.5,4139
0.8,0.5,4598
0.8,0.5,15870
0.8,0.5,23121
0.8,0.5,2285
0.8,0.5,7338
0.8,0.5,2519
0.8,0.5,82650
0.8,0.6,3071
0.8,0.6,1645
0.8,0.6,6986
0.8,0.6,2800
0.8,0.6,61942
0.8,0.6,9175
0.8,0.6,2268
0.8,0.6,14127
0.8,0.6,112553
0.8,0.6,6190
0.8,0.7,25573
0.8,0.7,4032
0.8,0.7,1351
0.8,0.7,1694
0.8,0.7,78899
0.8,0.7,14656
0.8,0.7,2709
0.8,0.7,6324
0.8,0.7,87296
0.8,0.7,13680
0.8,0.8,1674
0.8,0.8,3191
0.8,0.8,3444
0.8,0.8,15539
0.8,0.8,4909
0.8,0.8,12655
0.8,0.8,3638
0.8,0.8,1877
0.8,0.8,14502
0.8,0.8,3328
0.8,0.9,11305
0.8,0.9,57796
0.8,0.9,7124
0.8,0.9,19231
0.8,0.9,11163
0.8,0.9,4619
0.8,0.9,1836
0.8,0.9,9323
0.8,0.9,5756
0.8,0.9,12902
